taxon_id,taxon,categoria,estatus,countFilteredRegistro,id_registro,latitud,longitud,altitud,estado,municipio,localidad,precipitacion,temperatura,color_grano,hileras_mazorca,longitud_promedio
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,fd581e552c076439d9e1a0d4dd40e4a5,19.0941697,-97.46083,2554,PUEBLA,ALJOJUCA,San Francisco de Asís,455.4349,13.2448,['blanco'],22,14.3
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,af29557a3dbe9d8122d72d47bfb49a2a,23.5483297,-104.37833,1457,DURANGO,MEZQUITAL,Santa Gertrudis,503.3423,20.2789,['blanco'],no disponible,no disponible
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,7645ed4a2cec1c2d0fbab1ffa633f352,19.2561091,-98.8577805,2251,MEXICO,CHALCO,San Gregorio Cuautzingo,658.5283,15.8652,['azul oscuro'],no disponible,no disponible
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,7d1ff49c9d4c96954b76c27850177a4c,19.2561091,-98.8577805,2251,MEXICO,CHALCO,San Gregorio Cuautzingo,658.5283,15.8652,['blanco'],no disponible,no disponible
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,9b2434bcbbd04571296d201617b32e09,19.2561091,-98.8577805,2251,MEXICO,CHALCO,San Gregorio Cuautzingo,658.5283,15.8652,"['blanco', 'blanco cremoso']",18,no disponible
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,b224ae1112ff548abcf11092a93fe441,19.9091697,-100.52861,2253,MICHOACAN DE OCAMPO,MARAVATIO,San José del Rodeo,869.959,16.0937,['blanco'],14,15
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,553d208e875fd26d519603f3cc8e3d57,19.26667,-98.38194,2241,TLAXCALA,TEPETITLA DE LARDIZABAL,Tepetitla,717.3163,15.1895,['blanco'],11,15.1
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,5c9e74f177decc28dc57fcc0b034c91a,19.3396663,-98.4289702,2438,TLAXCALA,IXTACUIXTLA DE MARIANO MATAMOROS,Espíritu Santo,712.9808,14.1327,['blanco cremoso'],13,13.18
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,0f641633c7e4927fb26cdd33060cec51,19.21778,-98.3383297,2197,TLAXCALA,NATIVITAS,Santiago Michac,749.0945,15.531,['blanco'],12,15
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,ca3d98c0f25d7d8b3cfa67b4fd3e35f9,17.5274997,-97.5608297,2215,OAXACA,SAN PEDRO Y SAN PABLO TEPOSCOLULA,Paraje: Xatoto,665.911,15.6514,"['blanco', 'naranja']",16,14.6
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,30bdde2154db8fbdb7da09296845673c,18.6180597,-97.41028,1973,PUEBLA,CHAPULCO,Chapulco,498.0277,16.0397,no disponible,no disponible,no disponible
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,a1ba1ca033e84a7b5e029ee6e7158e11,18.6180597,-97.41028,1973,PUEBLA,CHAPULCO,Chapulco,498.0277,16.0397,['blanco'],no disponible,no disponible
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,5aaf5c1c3e4db47e7f83b312b3847507,19.3583336,-97.6883316,2422,TLAXCALA,EL CARMEN TEQUEXQUITLA,La Soledad,514.9446,13.6996,['blanco cremoso'],9.6,14.1
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,54238dee8d1f61540c5e1e1280bb4937,19.1849994,-99.0641633,2686,CIUDAD DE MEXICO,MILPA ALTA,"San Pablo Oztotepec, Barrio La Concepción",979.6387,13.2756,['blanco'],12.4,15.64
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,6d99524d4c01cfa6daf224694873f4f1,19.1922197,-99.02306,2427,CIUDAD DE MEXICO,MILPA ALTA,"Villa Milpa Alta, al interior de terreno comunal",800.7048,15.275,"['blanco cremoso', 'azul']",16,14.1
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,80a28e37af15c46b3910dc1df725ab5e,19.9708297,-99.50806,2398,MEXICO,JILOTEPEC,La Laguna,721.4123,14.9774,['blanco'],24,17.1
